route,source_file,render_mode,in_sitemap,orphan,word_count,has_offer,partner,code_present,code_is_text,code_in_server_html,has_disclosure,has_structured_data,has_visible_date,self_answers_in_raw_html,duplicate_cluster_id,notes
/,src/app//page.tsx,server-prerendered,no,no,738,yes,Moshy,REFERRAL120,yes,yes,yes,yes,no,,,
/about,src/app/about/page.tsx,server-prerendered,yes,no,824,no,,,,,yes,yes,no,,,
/activecampaign,src/app/activecampaign/page.tsx,server-prerendered,yes,no,819,no,,,,,yes,yes,no,,,
/affiliate-earnings-calculator,src/app/affiliate-earnings-calculator/page.tsx,server-prerendered,yes,no,743,no,,,,,no,yes,no,,,
/affiliate-partnerships,src/app/affiliate-partnerships/page.tsx,server-prerendered,no,yes,1208,no,,,,,no,yes,no,,,
/affiliate-programs-australia,src/app/affiliate-programs-australia/page.tsx,server-prerendered,yes,no,1939,no,,,,,yes,yes,no,,,
/affiliate-software-australia,src/app/affiliate-software-australia/page.tsx,server-prerendered,yes,no,1017,no,,,,,yes,yes,no,,,
/ai-sales-tools-quiz,src/app/ai-sales-tools-quiz/page.tsx,server-prerendered,yes,no,408,no,,,,,yes,yes,no,,,
/aisdr,src/app/aisdr/page.tsx,server-prerendered,yes,no,1559,no,,,,,yes,yes,no,,,
/alidrop,src/app/alidrop/page.tsx,server-prerendered,yes,no,1108,no,,,,,yes,yes,no,,,
/analytics,src/app/analytics/page.tsx,server-prerendered,no,yes,0,no,,,,,no,yes,no,,,under-300-words
/anker-solix,src/app/anker-solix/page.tsx,server-prerendered,yes,no,1219,no,,,,,yes,yes,no,,,
/api-guide,src/app/api-guide/page.tsx,server-prerendered,no,yes,0,no,,,,,no,yes,no,,,under-300-words
/apollo-energy-group,src/app/apollo-energy-group/page.tsx,server-prerendered,yes,no,3033,no,,,,,yes,yes,no,,,
/apollo-energy-group-eoi,src/app/apollo-energy-group-eoi/page.tsx,server-prerendered,no,yes,792,no,,,,,no,yes,no,,,
/apollo-energy-review,src/app/apollo-energy-review/page.tsx,server-prerendered,yes,no,1143,no,,,,,yes,yes,no,,,
/authors/jarred,UNKNOWN,server-prerendered,no,no,27,no,,,,,no,yes,no,,,under-300-words
/beautifulai,src/app/beautifulai/page.tsx,server-prerendered,yes,no,728,no,,,,,yes,yes,no,,,
/beehiiv,src/app/beehiiv/page.tsx,server-prerendered,yes,no,1583,no,,,,,yes,yes,no,,,
/best-ai-sales-tools,src/app/best-ai-sales-tools/page.tsx,server-prerendered,yes,no,1433,no,,,,,yes,yes,no,,,
/best-crm-small-business-australia,src/app/best-crm-small-business-australia/page.tsx,server-prerendered,yes,no,1084,no,,,,,yes,yes,no,,,
/best-hair-loss-treatment-australia,src/app/best-hair-loss-treatment-australia/page.tsx,server-prerendered,yes,no,1516,yes,Mosh,REFERAL55,yes,yes,yes,yes,yes,yes,,
/best-home-battery-australia,src/app/best-home-battery-australia/page.tsx,server-prerendered,no,no,1019,no,,,,,no,yes,yes,,,
/best-newsletter-platform,src/app/best-newsletter-platform/page.tsx,server-prerendered,yes,no,876,no,,,,,yes,yes,no,,,
/best-pet-insurance-australia,src/app/best-pet-insurance-australia/page.tsx,server-prerendered,yes,no,1951,yes,Knose; PetsOnMe,referlab2mf; REFERLABS,yes,yes,yes,yes,yes,yes,,
/best-website-builder,src/app/best-website-builder/page.tsx,server-prerendered,yes,no,1152,no,,,,,yes,yes,no,,,
/best-weight-loss-telehealth-australia,src/app/best-weight-loss-telehealth-australia/page.tsx,server-prerendered,yes,no,1584,yes,Moshy,REFERRAL120,yes,yes,yes,yes,yes,yes,,
/blinq,src/app/blinq/page.tsx,server-prerendered,yes,no,817,no,,,,,yes,yes,no,,,
/brevo,src/app/brevo/page.tsx,server-prerendered,yes,no,1311,no,,,,,yes,yes,no,,,
/business-line-of-credit-australia,src/app/business-line-of-credit-australia/page.tsx,server-prerendered,no,no,582,no,,,,,no,yes,yes,,,
/business-loan-calculator,src/app/business-loan-calculator/page.tsx,server-prerendered,no,no,348,no,,,,,no,yes,no,,,
/business-loan-eligibility-australia,src/app/business-loan-eligibility-australia/page.tsx,server-prerendered,no,no,458,no,,,,,no,yes,yes,,,
/business-loans,src/app/business-loans/page.tsx,server-prerendered,no,no,1782,no,,,,,no,yes,yes,,,
/business-loans-bad-credit-australia,src/app/business-loans-bad-credit-australia/page.tsx,server-prerendered,no,no,679,no,,,,,no,yes,yes,,,
/business-loans-hospitality-australia,src/app/business-loans-hospitality-australia/page.tsx,server-prerendered,no,no,600,no,,,,,no,yes,yes,,,
/business-loans-sole-traders-australia,src/app/business-loans-sole-traders-australia/page.tsx,server-prerendered,no,no,587,no,,,,,no,yes,yes,,,
/business-loans/lumi,UNKNOWN,server-prerendered,no,no,551,no,,,,,no,yes,no,,,
/business-loans/lumi/review,UNKNOWN,server-prerendered,no,no,687,no,,,,,no,yes,no,,,
/business-loans/moneytech,UNKNOWN,server-prerendered,no,no,542,no,,,,,no,yes,no,,,
/business-loans/moneytech/review,UNKNOWN,server-prerendered,no,no,649,no,,,,,no,yes,no,,,
/business-loans/moula,UNKNOWN,server-prerendered,no,no,541,no,,,,,no,yes,no,,,
/business-loans/moula/review,UNKNOWN,server-prerendered,no,no,628,no,,,,,no,yes,no,,,
/business-loans/prospa,UNKNOWN,server-prerendered,no,no,541,no,,,,,no,yes,no,,,
/business-loans/prospa/review,UNKNOWN,server-prerendered,no,no,682,no,,,,,no,yes,no,,,
/business-loans/shift,UNKNOWN,server-prerendered,no,no,581,no,,,,,no,yes,no,,,
/business-loans/shift/review,UNKNOWN,server-prerendered,no,no,688,no,,,,,no,yes,no,,,
/business-software,src/app/business-software/page.tsx,server-prerendered,yes,no,1151,no,,,,,yes,yes,no,,,
/butternut,src/app/butternut/page.tsx,server-prerendered,yes,no,1737,no,,,,,yes,yes,no,,,
/calendly,src/app/calendly/page.tsx,server-prerendered,no,yes,0,no,,,,,no,yes,no,,,under-300-words
/capsule,src/app/capsule/page.tsx,server-prerendered,yes,no,811,no,,,,,yes,yes,no,,,
/carrd,src/app/carrd/page.tsx,server-prerendered,yes,no,1474,no,,,,,yes,yes,no,,,
/carrd-vs-butternut,src/app/carrd-vs-butternut/page.tsx,server-prerendered,yes,no,1665,no,,,,,yes,yes,no,,,
/carrd-vs-durable,src/app/carrd-vs-durable/page.tsx,server-prerendered,yes,no,594,no,,,,,yes,yes,no,,,
/case-studies,src/app/case-studies/page.tsx,server-prerendered,no,no,3,no,,,,,no,yes,no,,,under-300-words
/cheapest-weight-loss-telehealth-australia,src/app/cheapest-weight-loss-telehealth-australia/page.tsx,server-prerendered,yes,no,1585,no,,,,,yes,yes,yes,,,
/cloudtalk,src/app/cloudtalk/page.tsx,server-prerendered,no,yes,834,no,,,,,yes,yes,no,,,
/coming-soon,src/app/coming-soon/page.tsx,server-prerendered,yes,no,580,no,,,,,no,yes,no,,,
/compare-business-lenders/lumi-vs-moula,UNKNOWN,server-prerendered,no,no,475,no,,,,,no,yes,no,,,
/compare-business-lenders/prospa-vs-lumi,UNKNOWN,server-prerendered,no,no,503,no,,,,,no,yes,no,,,
/compare-business-lenders/prospa-vs-moula,UNKNOWN,server-prerendered,no,no,494,no,,,,,no,yes,no,,,
/compare/ai-sales-tools,UNKNOWN,server-prerendered,no,no,836,no,,,,,yes,yes,no,,,
/compare/ai-tools,UNKNOWN,server-prerendered,no,no,615,no,,,,,yes,yes,no,,,
/compare/business-phone,UNKNOWN,server-prerendered,no,no,482,no,,,,,yes,yes,no,,,
/compare/hr-payroll,UNKNOWN,server-prerendered,no,no,497,no,,,,,yes,yes,no,,,
/compare/lead-generation,UNKNOWN,server-prerendered,no,no,486,no,,,,,yes,yes,no,,,
/compare/newsletter-platforms,UNKNOWN,server-prerendered,no,no,377,no,,,,,yes,yes,no,,,
/compare/payments,UNKNOWN,server-prerendered,no,no,648,no,,,,,yes,yes,no,,,
/compare/sales-outreach,UNKNOWN,server-prerendered,no,no,524,no,,,,,yes,yes,no,,,
/compare/website-builders,UNKNOWN,server-prerendered,no,no,597,no,,,,,yes,yes,no,,,
/contact,src/app/contact/page.tsx,server-prerendered,yes,no,211,no,,,,,no,yes,no,,,under-300-words
/data,src/app/data/page.tsx,server-prerendered,yes,no,712,yes,Moshy,REFERRAL120,yes,yes,no,yes,no,,,
/databox,src/app/databox/page.tsx,server-prerendered,yes,no,1224,no,,,,,yes,yes,no,,,
/deals,src/app/deals/page.tsx,server-prerendered,yes,no,1001,yes,Knose; Mosh; Moshy; PetsOnMe,REFERRAL120; REFERAL55; referlab2mf; REFERLABS,yes,yes,yes,yes,no,yes,,
/dense,src/app/dense/page.tsx,server-prerendered,yes,no,884,no,,,,,yes,yes,no,,,
/dext,src/app/dext/page.tsx,server-prerendered,yes,no,762,no,,,,,yes,yes,no,,,
/disclaimer,src/app/disclaimer/page.tsx,server-prerendered,yes,no,994,no,,,,,yes,yes,yes,,,
/durable-vs-butternut,src/app/durable-vs-butternut/page.tsx,server-prerendered,yes,no,1625,no,,,,,yes,yes,no,,,
/durableai,src/app/durableai/page.tsx,server-prerendered,yes,no,1678,no,,,,,yes,yes,no,,,
/early-signs-of-hair-loss-australia,src/app/early-signs-of-hair-loss-australia/page.tsx,server-prerendered,no,no,961,no,,,,,no,yes,yes,,,
/ecoflow,src/app/ecoflow/page.tsx,server-prerendered,yes,no,1207,no,,,,,yes,yes,no,,,
/ecoflow-vs-anker-solix,src/app/ecoflow-vs-anker-solix/page.tsx,server-prerendered,yes,no,1328,no,,,,,yes,yes,yes,,,
/elevenlabs,src/app/elevenlabs/page.tsx,server-prerendered,yes,no,766,no,,,,,yes,yes,no,,,
/employmenthero,src/app/employmenthero/page.tsx,server-prerendered,yes,no,1623,no,,,,,yes,yes,no,,,
/equipment-finance-instant-asset-write-off,src/app/equipment-finance-instant-asset-write-off/page.tsx,server-prerendered,no,no,630,no,,,,,no,yes,no,,,
/faq,src/app/faq/page.tsx,client,yes,yes,565,no,,,,,yes,yes,no,,,
/fast-business-loans-australia,src/app/fast-business-loans-australia/page.tsx,server-prerendered,no,no,599,no,,,,,no,yes,yes,,,
/flexiquiz,src/app/flexiquiz/page.tsx,server-prerendered,yes,no,784,no,,,,,yes,yes,no,,,
/for-business,src/app/for-business/page.tsx,server-prerendered,yes,no,256,no,,,,,no,yes,no,,,under-300-words
/fullenrich,src/app/fullenrich/page.tsx,server-prerendered,yes,no,1693,no,,,,,yes,yes,no,,,
/go-live,src/app/go-live/page.tsx,server-prerendered,no,yes,0,no,,,,,no,yes,no,,,under-300-words
/gohighlevel,src/app/gohighlevel/page.tsx,server-prerendered,yes,no,1668,no,,,,,yes,yes,no,,,
/gtm,src/app/gtm/page.tsx,server-prerendered,no,yes,0,no,,,,,no,yes,no,,,under-300-words
/guides,src/app/guides/page.tsx,server-prerendered,yes,no,2479,yes,Moshy; PetsOnMe,REFERRAL120; REFERLABS,yes,yes,yes,yes,no,,,
/hair-loss,src/app/hair-loss/page.tsx,server-prerendered,yes,no,804,yes,Mosh,REFERAL55,yes,yes,yes,yes,no,,,
/hair-loss-quiz,src/app/hair-loss-quiz/page.tsx,server-prerendered,yes,no,458,no,,,,,yes,yes,no,,,
/hair-loss-treatment-cost-australia,src/app/hair-loss-treatment-cost-australia/page.tsx,server-prerendered,yes,no,1357,no,,,,,yes,yes,yes,,,
/hellobar,src/app/hellobar/page.tsx,server-prerendered,yes,no,834,no,,,,,yes,yes,no,,,
/high-paying-affiliate-programs,src/app/high-paying-affiliate-programs/page.tsx,server-prerendered,yes,no,1092,no,,,,,no,yes,no,,,
/home-battery-blackout-backup-australia,src/app/home-battery-blackout-backup-australia/page.tsx,server-prerendered,no,no,1039,no,,,,,no,yes,yes,,,
/home-battery-cost-australia,src/app/home-battery-cost-australia/page.tsx,server-prerendered,yes,no,1450,no,,,,,yes,yes,yes,,,
/home-battery-installer-nsw,src/app/home-battery-installer-nsw/page.tsx,server-prerendered,no,no,915,no,,,,,no,yes,yes,,,
/home-battery-installer-sydney,src/app/home-battery-installer-sydney/page.tsx,server-prerendered,no,no,938,no,,,,,no,yes,yes,,,
/home-battery-payback-calculator,src/app/home-battery-payback-calculator/page.tsx,server-prerendered,yes,no,1058,no,,,,,yes,yes,no,,,
/home-battery-rebate-australia,src/app/home-battery-rebate-australia/page.tsx,server-prerendered,yes,no,1643,no,,,,,yes,yes,no,,,
/home-battery-rebate-by-state-australia,src/app/home-battery-rebate-by-state-australia/page.tsx,server-prerendered,yes,no,1451,no,,,,,yes,yes,no,,,
/how-to-get-a-business-loan-australia,src/app/how-to-get-a-business-loan-australia/page.tsx,server-prerendered,no,no,482,no,,,,,no,yes,yes,,,
/how-to-start-affiliate-marketing-australia,src/app/how-to-start-affiliate-marketing-australia/page.tsx,server-prerendered,yes,no,1465,no,,,,,no,yes,no,,,
/how-to-stop-hair-loss-australia,src/app/how-to-stop-hair-loss-australia/page.tsx,server-prerendered,no,no,976,no,,,,,no,yes,yes,,,
/how-we-make-money,src/app/how-we-make-money/page.tsx,server-prerendered,yes,no,171,no,,,,,no,yes,no,,,under-300-words
/hubspot,src/app/hubspot/page.tsx,server-prerendered,no,yes,0,no,,,,,no,yes,no,,,under-300-words
/instapage,src/app/instapage/page.tsx,server-prerendered,no,yes,739,no,,,,,yes,yes,no,,,
/is-a-home-battery-worth-it-australia,src/app/is-a-home-battery-worth-it-australia/page.tsx,server-prerendered,no,no,998,no,,,,,no,yes,yes,,,
/juniper,src/app/juniper/page.tsx,server-prerendered,yes,no,1764,no,,,,,yes,yes,no,,,
/keap,src/app/keap/page.tsx,server-prerendered,yes,no,801,no,,,,,yes,yes,no,,,
/klaviyo,src/app/klaviyo/page.tsx,server-prerendered,no,yes,0,no,,,,,no,yes,no,,,under-300-words
/knose,src/app/knose/page.tsx,server-prerendered,yes,no,651,yes,Knose,referlab2mf,yes,yes,yes,yes,yes,yes,,
/knose-vs-petsonme,src/app/knose-vs-petsonme/page.tsx,server-prerendered,yes,no,1225,yes,Knose; PetsOnMe,referlab2mf; REFERLABS,yes,yes,yes,yes,yes,,,
/krispcall,src/app/krispcall/page.tsx,server-prerendered,yes,no,647,no,,,,,yes,yes,no,,,
/landingi,src/app/landingi/page.tsx,server-prerendered,yes,no,813,no,,,,,yes,yes,no,,,
/lead-hacking,src/app/lead-hacking/page.tsx,server-prerendered,no,yes,865,no,,,,,no,yes,no,,,
/leadpages,src/app/leadpages/page.tsx,server-prerendered,yes,no,1119,no,,,,,yes,yes,no,,,
/lindy,src/app/lindy/page.tsx,server-prerendered,yes,no,750,no,,,,,yes,yes,no,,,
/linkedin-growth,src/app/linkedin-growth/page.tsx,server-prerendered,no,yes,1485,no,,,,,no,yes,no,,,
/linkedin-influencer,src/app/linkedin-influencer/page.tsx,server-prerendered,no,yes,1612,no,,,,,no,yes,no,,,
/longevity,src/app/longevity/page.tsx,server-prerendered,yes,no,511,no,,,,,no,yes,no,,,
/longevity/diagnostics,src/app/longevity/diagnostics/page.tsx,server-prerendered,yes,no,568,no,,,,,no,yes,no,,,
/longevity/diagnostics/biological-age-testing-australia,src/app/longevity/diagnostics/biological-age-testing-australia/page.tsx,server-prerendered,yes,no,887,no,,,,,no,yes,yes,,,
/longevity/diagnostics/cgm-for-non-diabetics-australia,src/app/longevity/diagnostics/cgm-for-non-diabetics-australia/page.tsx,server-prerendered,yes,no,888,no,,,,,no,yes,yes,,,
/longevity/diagnostics/everlab-vs-prenuvo-vs-i-screen-australia,src/app/longevity/diagnostics/everlab-vs-prenuvo-vs-i-screen-australia/page.tsx,server-prerendered,yes,no,957,no,,,,,no,yes,yes,,,
/longevity/diagnostics/health-screening-quiz,src/app/longevity/diagnostics/health-screening-quiz/page.tsx,server-prerendered,yes,no,288,no,,,,,no,yes,no,,,under-300-words
/longevity/diagnostics/whole-body-mri-australia-cost,src/app/longevity/diagnostics/whole-body-mri-australia-cost/page.tsx,server-prerendered,yes,no,1012,no,,,,,no,yes,yes,,,
/longevity/recovery,src/app/longevity/recovery/page.tsx,server-prerendered,yes,no,530,no,,,,,no,yes,no,,,
